,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,89.32 ± 0.31,52.66 ± 1.15,52.63 ± 0.76,53.36 ± 1.14,43.92 ± 0.12
ninco,80.94 ± 0.94,59.89 ± 1.25,92.23 ± 0.28,14.90 ± 0.84,43.92 ± 0.12
nearood,85.13 ± 0.63,56.27 ± 1.20,72.43 ± 0.52,34.13 ± 0.99,43.92 ± 0.12
inaturalist,60.86 ± 2.73,78.47 ± 2.39,94.05 ± 0.68,45.69 ± 5.53,43.92 ± 0.12
textures,71.02 ± 0.44,77.67 ± 1.10,96.25 ± 0.16,40.43 ± 3.31,43.92 ± 0.12
openimage_o,71.97 ± 0.70,68.31 ± 1.64,86.37 ± 0.62,42.30 ± 2.69,43.92 ± 0.12
farood,67.95 ± 1.27,74.82 ± 1.71,92.22 ± 0.49,42.81 ± 3.84,43.92 ± 0.12
