Start training...

Epoch 066 | Time 16673s | Train Loss 0.9985 | Val Loss 1.878 | Val Acc 76.30

Epoch 067 | Time 16931s | Train Loss 0.9644 | Val Loss 1.819 | Val Acc 76.80

Epoch 068 | Time 17184s | Train Loss 0.9301 | Val Loss 1.924 | Val Acc 76.30

Epoch 069 | Time 17442s | Train Loss 0.9338 | Val Loss 1.674 | Val Acc 78.80

Epoch 070 | Time 17694s | Train Loss 0.9188 | Val Loss 1.678 | Val Acc 78.30

Epoch 071 | Time 17944s | Train Loss 0.8704 | Val Loss 1.739 | Val Acc 79.50

Epoch 072 | Time 18194s | Train Loss 0.8827 | Val Loss 1.660 | Val Acc 79.00

Epoch 073 | Time 18444s | Train Loss 0.7930 | Val Loss 1.629 | Val Acc 79.70

Epoch 074 | Time 18691s | Train Loss 0.7781 | Val Loss 1.538 | Val Acc 80.10

Epoch 075 | Time 18941s | Train Loss 0.7706 | Val Loss 1.579 | Val Acc 80.10

Epoch 076 | Time 19193s | Train Loss 0.7565 | Val Loss 1.601 | Val Acc 80.00

Epoch 077 | Time 19446s | Train Loss 0.6789 | Val Loss 1.514 | Val Acc 81.10

Epoch 078 | Time 19698s | Train Loss 0.7016 | Val Loss 1.452 | Val Acc 81.60

Epoch 079 | Time 19950s | Train Loss 0.6705 | Val Loss 1.418 | Val Acc 81.40

Epoch 080 | Time 20200s | Train Loss 0.6391 | Val Loss 1.373 | Val Acc 82.00

Epoch 081 | Time 20459s | Train Loss 0.6429 | Val Loss 1.369 | Val Acc 82.00

Epoch 082 | Time 20707s | Train Loss 0.5840 | Val Loss 1.316 | Val Acc 84.10

Epoch 083 | Time 20959s | Train Loss 0.5760 | Val Loss 1.285 | Val Acc 83.70

Epoch 084 | Time 21209s | Train Loss 0.5383 | Val Loss 1.261 | Val Acc 84.00

Epoch 085 | Time 21458s | Train Loss 0.5203 | Val Loss 1.257 | Val Acc 83.90

Epoch 086 | Time 21729s | Train Loss 0.5083 | Val Loss 1.271 | Val Acc 84.10

Epoch 087 | Time 21980s | Train Loss 0.5585 | Val Loss 1.256 | Val Acc 84.60

Epoch 088 | Time 22229s | Train Loss 0.4691 | Val Loss 1.248 | Val Acc 84.80

Epoch 089 | Time 22490s | Train Loss 0.4974 | Val Loss 1.249 | Val Acc 84.40

Epoch 090 | Time 22740s | Train Loss 0.5086 | Val Loss 1.246 | Val Acc 84.30
Training Completed! Best accuracy: 84.80 at epoch 88
──────────────────────────────────────────────────────────────────────
Start testing...

Complete Evaluation, Last accuracy 86.23
Completed!
