,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,61.31,81.56,81.04,81.05,76.73
ninco,50.16,86.47,97.80,50.24,76.73
nearood,55.73,84.01,89.42,65.65,76.73
inaturalist,9.27,97.98,99.53,92.37,76.73
textures,10.74,97.90,99.73,89.18,76.73
openimage_o,26.85,94.48,97.84,87.59,76.73
farood,15.62,96.79,99.03,89.71,76.73
