Start training...

Epoch 001 | Time   252s | Train Loss 3.3145 | Val Loss 6.960 | Val Acc 20.60

Epoch 002 | Time   500s | Train Loss 2.7243 | Val Loss 6.142 | Val Acc 29.70

Epoch 003 | Time   751s | Train Loss 2.4148 | Val Loss 5.226 | Val Acc 39.50

Epoch 004 | Time  1005s | Train Loss 2.2358 | Val Loss 4.813 | Val Acc 43.40

Epoch 005 | Time  1256s | Train Loss 2.0685 | Val Loss 4.069 | Val Acc 50.20

Epoch 006 | Time  1509s | Train Loss 2.0651 | Val Loss 4.135 | Val Acc 51.20

Epoch 007 | Time  1759s | Train Loss 1.9835 | Val Loss 5.064 | Val Acc 42.70

Epoch 008 | Time  2008s | Train Loss 1.8951 | Val Loss 4.022 | Val Acc 51.70

Epoch 009 | Time  2271s | Train Loss 1.9297 | Val Loss 4.178 | Val Acc 49.30

Epoch 010 | Time  2531s | Train Loss 1.9330 | Val Loss 3.891 | Val Acc 53.00

Epoch 011 | Time  2783s | Train Loss 1.8472 | Val Loss 4.292 | Val Acc 49.80

Epoch 012 | Time  3033s | Train Loss 1.8598 | Val Loss 4.375 | Val Acc 48.50

Epoch 013 | Time  3286s | Train Loss 1.8249 | Val Loss 4.636 | Val Acc 46.00

Epoch 014 | Time  3537s | Train Loss 1.7590 | Val Loss 3.639 | Val Acc 54.60

Epoch 015 | Time  3786s | Train Loss 1.8072 | Val Loss 3.502 | Val Acc 57.50

Epoch 016 | Time  4036s | Train Loss 1.7588 | Val Loss 3.538 | Val Acc 57.30

Epoch 017 | Time  4285s | Train Loss 1.7299 | Val Loss 3.435 | Val Acc 57.40

Epoch 018 | Time  4536s | Train Loss 1.7787 | Val Loss 3.175 | Val Acc 61.80

Epoch 019 | Time  4787s | Train Loss 1.6995 | Val Loss 3.840 | Val Acc 52.90

Epoch 020 | Time  5043s | Train Loss 1.7537 | Val Loss 3.756 | Val Acc 53.40

Epoch 021 | Time  5301s | Train Loss 1.7682 | Val Loss 3.724 | Val Acc 55.20

Epoch 022 | Time  5550s | Train Loss 1.7060 | Val Loss 4.238 | Val Acc 51.80

Epoch 023 | Time  5800s | Train Loss 1.6298 | Val Loss 3.889 | Val Acc 53.50

Epoch 024 | Time  6068s | Train Loss 1.6492 | Val Loss 3.197 | Val Acc 61.80

Epoch 025 | Time  6320s | Train Loss 1.7039 | Val Loss 3.490 | Val Acc 58.80

Epoch 026 | Time  6572s | Train Loss 1.6611 | Val Loss 4.470 | Val Acc 47.30

