,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar100,81.78 ± 3.98,81.27 ± 0.74,75.68 ± 2.01,83.24 ± 0.06,95.06 ± 0.30
tin,79.14 ± 4.04,83.84 ± 0.02,80.65 ± 1.12,84.03 ± 0.67,95.06 ± 0.30
nearood,80.46 ± 4.01,82.55 ± 0.36,78.16 ± 1.57,83.64 ± 0.30,95.06 ± 0.30
mnist,48.68 ± 15.38,90.58 ± 2.96,57.25 ± 10.02,98.54 ± 0.47,95.06 ± 0.30
svhn,70.54 ± 8.71,84.63 ± 3.05,62.05 ± 7.29,93.90 ± 1.06,95.06 ± 0.30
texture,80.39 ± 3.93,83.94 ± 0.35,84.19 ± 0.78,80.27 ± 0.46,95.06 ± 0.30
places365,70.51 ± 5.98,86.41 ± 1.92,55.87 ± 4.83,96.05 ± 0.59,95.06 ± 0.30
farood,67.53 ± 7.50,86.39 ± 1.86,64.84 ± 5.51,92.19 ± 0.38,95.06 ± 0.30
