,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,67.72,77.35,76.95,76.51,76.18
ninco,51.80,85.37,97.64,46.66,76.18
nearood,59.76,81.36,87.29,61.59,76.18
inaturalist,9.51,98.02,99.54,92.35,76.18
textures,11.90,97.63,99.69,87.69,76.18
openimage_o,28.18,93.95,97.67,86.05,76.18
farood,16.53,96.53,98.97,88.70,76.18
