,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,80.63,59.74,77.12,38.15,54.35
ninco,69.85,69.61,97.46,9.85,54.35
nearood,75.24,64.67,87.29,24.00,54.35
inaturalist,29.60,91.66,99.04,48.87,54.35
textures,33.15,91.51,99.47,39.00,54.35
openimage_o,51.04,83.39,96.76,42.35,54.35
farood,37.93,88.85,98.42,43.41,54.35
