,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,76.25,64.73,80.28,42.27,54.88
ninco,68.52,71.35,97.61,10.61,54.88
nearood,72.39,68.04,88.95,26.44,54.88
inaturalist,29.38,91.54,99.02,48.61,54.88
textures,31.58,92.23,99.51,42.81,54.88
openimage_o,49.62,84.61,96.98,45.64,54.88
farood,36.86,89.46,98.51,45.69,54.88
