,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,67.39 ± 0.63,82.08 ± 0.27,46.65 ± 0.41,95.58 ± 0.07,86.37 ± 0.08
ninco,47.21 ± 1.28,87.59 ± 0.30,91.43 ± 0.21,81.18 ± 0.39,86.37 ± 0.08
nearood,57.30 ± 0.91,84.84 ± 0.28,69.04 ± 0.30,88.38 ± 0.23,86.37 ± 0.08
inaturalist,18.41 ± 1.87,95.79 ± 0.46,95.86 ± 0.40,95.88 ± 0.48,86.37 ± 0.08
textures,29.78 ± 0.50,94.11 ± 0.07,96.11 ± 0.02,91.57 ± 0.24,86.37 ± 0.08
openimage_o,31.19 ± 1.08,92.04 ± 0.25,88.65 ± 0.23,94.69 ± 0.24,86.37 ± 0.08
farood,26.46 ± 0.82,93.98 ± 0.25,93.54 ± 0.16,94.05 ± 0.31,86.37 ± 0.08
