Start training...

Epoch 001 | Time   249s | Train Loss 3.3357 | Val Loss 6.868 | Val Acc 20.90

Epoch 002 | Time   500s | Train Loss 2.7636 | Val Loss 6.643 | Val Acc 24.70

Epoch 003 | Time   753s | Train Loss 2.3621 | Val Loss 5.489 | Val Acc 36.80

Epoch 004 | Time  1004s | Train Loss 2.2021 | Val Loss 4.335 | Val Acc 46.50

Epoch 005 | Time  1257s | Train Loss 2.1567 | Val Loss 4.626 | Val Acc 46.60

Epoch 006 | Time  1511s | Train Loss 2.0854 | Val Loss 4.142 | Val Acc 50.30

Epoch 007 | Time  1763s | Train Loss 2.0141 | Val Loss 4.623 | Val Acc 44.80

Epoch 008 | Time  2011s | Train Loss 1.9789 | Val Loss 4.437 | Val Acc 47.90

Epoch 009 | Time  2273s | Train Loss 1.8921 | Val Loss 4.139 | Val Acc 49.60

Epoch 010 | Time  2533s | Train Loss 1.8416 | Val Loss 3.952 | Val Acc 53.00

Epoch 011 | Time  2785s | Train Loss 1.8143 | Val Loss 4.325 | Val Acc 50.00

Epoch 012 | Time  3035s | Train Loss 1.7934 | Val Loss 4.030 | Val Acc 50.00

Epoch 013 | Time  3290s | Train Loss 1.8093 | Val Loss 4.244 | Val Acc 49.40

Epoch 014 | Time  3542s | Train Loss 1.7719 | Val Loss 4.580 | Val Acc 44.00

Epoch 015 | Time  3791s | Train Loss 1.8287 | Val Loss 3.773 | Val Acc 54.90

Epoch 016 | Time  4043s | Train Loss 1.7343 | Val Loss 3.450 | Val Acc 58.00

Epoch 017 | Time  4291s | Train Loss 1.7446 | Val Loss 3.656 | Val Acc 55.10

Epoch 018 | Time  4540s | Train Loss 1.7682 | Val Loss 3.771 | Val Acc 53.30

Epoch 019 | Time  4790s | Train Loss 1.7307 | Val Loss 3.603 | Val Acc 56.50

Epoch 020 | Time  5046s | Train Loss 1.7440 | Val Loss 3.725 | Val Acc 55.90

Epoch 021 | Time  5301s | Train Loss 1.7523 | Val Loss 4.347 | Val Acc 49.90

Epoch 022 | Time  5553s | Train Loss 1.7194 | Val Loss 3.604 | Val Acc 55.40

Epoch 023 | Time  5806s | Train Loss 1.6700 | Val Loss 3.474 | Val Acc 57.70

Epoch 024 | Time  6072s | Train Loss 1.6940 | Val Loss 3.391 | Val Acc 57.40

